strategy,churn_rate,seed,n_nodes,n_shards,ticks,n_queries,success_rate,throughput_per_tick,mean_cost,p90_cost,total_control_cost,control_overhead_ratio,n_disruptions,mean_recovery_ticks,n_never_recovered,trial
adaptive_centralized,0.1,479545,14,10,400,2862,0.713487071977638,5.105,21.36705123104947,38.61547595898317,266.0,0.11525129982668977,30,0.0,0,8
decentralized_greedy,0.1,479545,14,10,400,2862,0.5062893081761006,3.6225,17.287085261258216,35.139039400322275,3463.0,0.7050081433224755,30,3.1333333333333333,0,8
antsql,0.1,479545,14,10,400,2862,0.7243186582809225,5.1825,33.35597794219621,69.5857847455871,824.0,0.2844321712115982,30,0.6,0,8
static_centralized,0.1,730941,14,10,400,2790,0.5637992831541219,3.9325,24.528671691381113,50.04192716664421,0.0,0.0,22,0.0,0,9
adaptive_centralized,0.1,730941,14,10,400,2790,0.8663082437275985,6.0425,26.347570578803015,50.041927166644214,266.0,0.09914275065225493,22,0.0,0,9
decentralized_greedy,0.1,730941,14,10,400,2790,0.6867383512544802,4.79,24.932644008288463,51.63042343260476,4440.0,0.6985525487728131,22,1.0952380952380953,1,9
antsql,0.1,730941,14,10,400,2790,0.8924731182795699,6.225,41.88199102820104,80.4513739688629,744.0,0.2300556586270872,22,0.0,0,9
static_centralized,0.1,832640,14,10,400,2839,0.36174709404719974,2.5675,19.5410962127246,39.52853550950403,0.0,0.0,38,0.7894736842105263,0,10
adaptive_centralized,0.1,832640,14,10,400,2839,0.5783726664318422,4.105,27.660620461549623,58.439970901801544,266.0,0.13941299790356393,38,0.7105263157894737,0,10
decentralized_greedy,0.1,832640,14,10,400,2839,0.38217682282493837,2.7125,18.997422159348993,39.52853550950403,2631.0,0.7080193756727664,38,13.0,0,10
antsql,0.1,832640,14,10,400,2839,0.5604085945755548,3.9775,34.918882360472615,73.53387201283012,615.0,0.2787851314596555,38,1.131578947368421,0,10
static_centralized,0.1,811625,14,10,400,2842,0.5087966220971147,3.615,17.195424857774515,28.972828078707963,0.0,0.0,33,0.36666666666666664,3,11
adaptive_centralized,0.1,811625,14,10,400,2842,0.9071076706544687,6.445,18.85873821019308,30.709951542613744,266.0,0.09353023909985936,33,0.0,0,11
decentralized_greedy,0.1,811625,14,10,400,2842,0.6548205489092188,4.6525,16.490664188077986,28.792950268758656,4198.0,0.6928536062056445,33,0.0,0,11
antsql,0.1,811625,14,10,400,2842,0.8817733990147784,6.265,34.89289771932711,70.01907147235134,890.0,0.2620730270906949,33,8.454545454545455,0,11
static_centralized,0.1,784348,14,10,400,2851,0.5345492809540512,3.81,18.899488973694265,33.294410224436405,0.0,0.0,36,0.0,0,12
adaptive_centralized,0.1,784348,14,10,400,2851,0.7302700806734479,5.205,22.17315668111297,42.98510543635496,266.0,0.11328790459965929,36,0.0,0,12
decentralized_greedy,0.1,784348,14,10,400,2851,0.5552437741143459,3.9575,18.352444384063823,33.231243393779515,3358.0,0.6796195102206031,36,2.235294117647059,2,12
antsql,0.1,784348,14,10,400,2851,0.7874430024552789,5.6125,31.72223113229749,61.22123909419463,806.0,0.2641756801048836,36,0.0,0,12
static_centralized,0.1,588478,14,10,400,2777,0.356139719121354,2.4725,16.19508085495273,28.784622122584054,0.0,0.0,25,0.28,0,13
adaptive_centralized,0.1,588478,14,10,400,2777,0.518905293482175,3.6025,21.36824498291079,36.061708779180066,266.0,0.15582893966022263,25,0.72,0,13
decentralized_greedy,0.1,588478,14,10,400,2777,0.356139719121354,2.4725,16.501083058807215,29.45185944822613,2738.0,0.734639119935605,25,0.20833333333333334,1,13
antsql,0.1,588478,14,10,400,2777,0.5289881166726683,3.6725,30.408751321565248,60.20205631188937,743.0,0.3358951175406872,25,0.2,0,13
static_centralized,0.1,995170,14,10,400,2810,0.4544483985765125,3.1925,27.075653031860465,49.454770738601354,0.0,0.0,34,0.0,0,14
adaptive_centralized,0.1,995170,14,10,400,2810,0.6227758007117438,4.375,28.709476738449364,51.461223894045965,266.0,0.13194444444444445,34,0.0,0,14
decentralized_greedy,0.1,995170,14,10,400,2810,0.5060498220640569,3.555,25.98109832231375,49.454770738601354,2911.0,0.6718209093007155,34,0.0,2,14
antsql,0.1,995170,14,10,400,2810,0.5861209964412811,4.1175,40.13720928738749,77.92048721495118,586.0,0.2624272279444693,34,0.21212121212121213,0,14
static_centralized,0.1,373932,14,10,400,2763,0.7238508867173362,5.0,28.133386940257136,45.35898308574613,0.0,0.0,26,0.0,1,15
adaptive_centralized,0.1,373932,14,10,400,2763,0.8570394498733261,5.92,26.36047980110775,45.10891840866483,266.0,0.10098709187547457,26,1.5769230769230769,0,15
decentralized_greedy,0.1,373932,14,10,400,2763,0.7553384002895404,5.2175,27.78183101550863,44.79967222123587,4044.0,0.6595987603979775,26,0.0,1,15
antsql,0.1,373932,14,10,400,2763,0.8722403184943902,6.025,51.70283760431181,114.55217281778594,849.0,0.2605093586989874,26,0.2692307692307692,0,15
static_centralized,0.1,363257,14,10,400,2798,0.6454610436025733,4.515,18.44866945282127,33.42163837179118,0.0,0.0,37,0.0,0,16
adaptive_centralized,0.1,363257,14,10,400,2798,0.9060042887776983,6.3375,19.823278307266758,33.42163837179118,266.0,0.09496608354159229,37,0.0,0,16
decentralized_greedy,0.1,363257,14,10,400,2798,0.7130092923516798,4.9875,17.8158166398657,31.239939567986106,4243.0,0.6801859570375121,37,0.0,1,16
antsql,0.1,363257,14,10,400,2798,0.9203002144388849,6.4375,36.021674291882775,76.2142991234678,788.0,0.23431460005947072,37,0.7027027027027027,0,16
static_centralized,0.1,885725,14,10,400,2795,0.5552772808586762,3.88,18.061591125954898,31.229333065165,0.0,0.0,31,0.13333333333333333,1,17
adaptive_centralized,0.1,885725,14,10,400,2795,0.6905187835420393,4.825,21.49088653591844,37.66726432688742,266.0,0.12112932604735883,31,1.096774193548387,0,17
decentralized_greedy,0.1,885725,14,10,400,2795,0.562432915921288,3.93,17.748406542019836,31.229333065165,3360.0,0.681265206812652,31,1.967741935483871,0,17
antsql,0.1,885725,14,10,400,2795,0.718783542039356,5.0225,28.42023633610345,61.17292621329684,615.0,0.234375,31,0.8064516129032258,0,17
static_centralized,0.1,900235,14,10,400,2893,0.5717248530936744,4.135,15.554799945339433,26.326845356134278,0.0,0.0,32,0.45161290322580644,0,18
adaptive_centralized,0.1,900235,14,10,400,2893,0.8091946076736951,5.8525,17.01093358439694,28.131819057857715,266.0,0.10203298810893748,32,0.45161290322580644,0,18
decentralized_greedy,0.1,900235,14,10,400,2893,0.5876253024541997,4.25,15.53481391081864,26.326845356134278,4034.0,0.7035228461806766,32,0.1935483870967742,0,18
antsql,0.1,900235,14,10,400,2893,0.8510197027307294,6.155,32.31025108456851,67.03848758350222,911.0,0.2700859768751853,32,0.6129032258064516,0,18
static_centralized,0.1,288000,14,10,400,2807,0.5386533665835411,3.78,17.707358301605147,34.57153564117537,0.0,0.0,26,0.07692307692307693,0,19
adaptive_centralized,0.1,288000,14,10,400,2807,0.8991806198788742,6.31,19.11235976502234,32.17836455476997,266.0,0.0953405017921147,26,0.0,0,19
decentralized_greedy,0.1,288000,14,10,400,2807,0.6416102600641254,4.5025,17.823416089470328,33.24592763473945,4191.0,0.6994325767690254,26,0.0,0,19
antsql,0.1,288000,14,10,400,2807,0.9205557534734592,6.46,33.26368995672818,68.56608518764023,750.0,0.22495500899820037,26,0.0,0,19
static_centralized,0.2,668811,14,10,400,2792,0.36926934097421205,2.5775,17.36412214456666,34.28536303685274,0.0,0.0,66,7.545454545454546,0,0
adaptive_centralized,0.2,668811,14,10,400,2792,0.6479226361031518,4.5225,20.46151155554304,38.01969709312696,266.0,0.12819277108433735,66,1.2121212121212122,0,0
decentralized_greedy,0.2,668811,14,10,400,2792,0.45164756446991405,3.1525,16.574573061399818,33.619457170688534,3704.0,0.7460221550855992,66,0.4375,2,0
antsql,0.2,668811,14,10,400,2792,0.7245702005730659,5.0575,34.83799700801168,74.88490411301692,790.0,0.28083896196231783,66,0.9393939393939394,0,0
static_centralized,0.2,67588,14,10,400,2695,0.45862708719851575,3.09,21.792992186125435,44.867963329207285,0.0,0.0,55,3.1296296296296298,1,1
adaptive_centralized,0.2,67588,14,10,400,2695,0.6326530612244898,4.2625,25.49916268661111,50.842012852799094,266.0,0.13495687468290207,55,1.7272727272727273,0,1
decentralized_greedy,0.2,67588,14,10,400,2695,0.4946196660482375,3.3325,21.34864203085843,46.143551005956695,3758.0,0.7381653899037517,55,7.4,0,1
antsql,0.2,67588,14,10,400,2695,0.6460111317254175,4.3525,34.18329829714382,73.89354933203758,943.0,0.3513412816691505,55,4.9818181818181815,0,1
static_centralized,0.2,634385,14,10,400,2740,0.2518248175182482,1.725,14.699833106135024,31.35120520446763,0.0,0.0,61,4.983606557377049,0,2
adaptive_centralized,0.2,634385,14,10,400,2740,0.5102189781021897,3.495,21.75023152120074,39.565699018176225,266.0,0.15985576923076922,61,2.3442622950819674,0,2
decentralized_greedy,0.2,634385,14,10,400,2740,0.3124087591240876,2.14,17.017127585571345,33.69511451487987,2701.0,0.7593477649704807,61,3.1864406779661016,2,2
antsql,0.2,634385,14,10,400,2740,0.5485401459854015,3.7575,32.366400187548436,64.16587963602682,550.0,0.2679006332196785,61,1.9508196721311475,0,2
static_centralized,0.2,625986,14,10,400,2866,0.2875087229588276,2.06,23.569770030771004,48.81776942293282,0.0,0.0,61,1.0350877192982457,3,3
adaptive_centralized,0.2,625986,14,10,400,2866,0.37892533147243546,2.715,28.413012535115595,54.660334581942124,266.0,0.19674556213017752,61,0.22807017543859648,3,3
decentralized_greedy,0.2,625986,14,10,400,2866,0.29762735519888345,2.1325,23.45609388240372,48.81776942293282,2228.0,0.7231418370658877,61,1.0169491525423728,1,3
antsql,0.2,625986,14,10,400,2866,0.3963712491277041,2.84,35.64714729247232,74.09867894093836,424.0,0.2717948717948718,61,0.1724137931034483,2,3
static_centralized,0.2,83013,14,10,400,2898,0.39268461007591443,2.845,27.345006568718123,53.102064382063574,0.0,0.0,63,1.3492063492063493,0,4
adaptive_centralized,0.2,83013,14,10,400,2898,0.6273291925465838,4.545,30.71414231758002,54.511971617843834,266.0,0.1276391554702495,63,0.4603174603174603,0,4
